Date,Regression (Sum of Yarra Glen-Warrandyte Interstation & Plenty 2 Mernda)
4/12/1897,56.8499
5/12/1897,59.12522
6/12/1897,53.93663
7/12/1897,50.25582
8/12/1897,48.6569
9/12/1897,47.13167
10/12/1897,45.67644
11/12/1897,44.28697
12/12/1897,42.95914
13/12/1897,41.68937
14/12/1897,40.47512
15/12/1897,39.31339
16/12/1897,38.2006
17/12/1897,37.13479
18/12/1897,36.11376
19/12/1897,35.13499
20/12/1897,34.19672
21/12/1897,33.29663
22/12/1897,32.6442
23/12/1897,32.45923
24/12/1897,34.38956
25/12/1897,48.9987
26/12/1897,42.36156
27/12/1897,29.79396
28/12/1897,28.76172
29/12/1897,27.66682
30/12/1897,26.61155
31/12/1897,25.59703
1/01/1898,24.62006
2/01/1898,23.67802
3/01/1898,23.41966
4/01/1898,21.92102
5/01/1898,21.04399
6/01/1898,20.2252
7/01/1898,19.43374
8/01/1898,18.66844
9/01/1898,17.92837
10/01/1898,17.21244
11/01/1898,16.5194
12/01/1898,15.84846
13/01/1898,15.19879
14/01/1898,14.56958
15/01/1898,14.16115
16/01/1898,13.36915
17/01/1898,12.79631
18/01/1898,12.24071
19/01/1898,11.70164
20/01/1898,11.74139
21/01/1898,15.88964
22/01/1898,14.78456
23/01/1898,13.80379
24/01/1898,14.72686
25/01/1898,10.75498
26/01/1898,10.06998
27/01/1898,9.430806
28/01/1898,8.809325
29/01/1898,8.204982
30/01/1898,7.617055
31/01/1898,7.044922
1/02/1898,6.487996
2/02/1898,5.945742
3/02/1898,5.417659
4/02/1898,4.90324
5/02/1898,4.29058
6/02/1898,3.665348
7/02/1898,3.055894
8/02/1898,2.461658
9/02/1898,1.882123
10/02/1898,1.316803
11/02/1898,13.90004
12/02/1898,19.66033
13/02/1898,13.1483
14/02/1898,78.60625
15/02/1898,3.897984
16/02/1898,3.000396
17/02/1898,2.41219
18/02/1898,1.838114
19/02/1898,1.277705
20/02/1898,0.730517
21/02/1898,0.196109
22/02/1898,0
23/02/1898,0
24/02/1898,0
25/02/1898,0
26/02/1898,0
27/02/1898,0
28/02/1898,0
1/03/1898,2.541293
2/03/1898,10.97069
3/03/1898,0.049337
4/03/1898,0.601498
5/03/1898,0
6/03/1898,0
7/03/1898,0
8/03/1898,0
9/03/1898,0
10/03/1898,0
11/03/1898,0
12/03/1898,0
13/03/1898,0
14/03/1898,0
15/03/1898,1.635324
16/03/1898,4.006851
17/03/1898,1.553272
18/03/1898,0.773792
19/03/1898,2.120788
20/03/1898,0
21/03/1898,0
22/03/1898,0
23/03/1898,0.453324
24/03/1898,0
25/03/1898,0
26/03/1898,0
27/03/1898,0
28/03/1898,0
29/03/1898,0
30/03/1898,0
31/03/1898,0
1/04/1898,0
2/04/1898,0
3/04/1898,0
4/04/1898,0.782012
5/04/1898,7.336072
6/04/1898,10.2602
7/04/1898,5.091841
8/04/1898,4.258097
9/04/1898,2.488289
10/04/1898,9.683381
11/04/1898,0.188596
12/04/1898,0.136812
13/04/1898,0
14/04/1898,0
15/04/1898,0
16/04/1898,0
17/04/1898,0
18/04/1898,0
19/04/1898,0
20/04/1898,10.07702
21/04/1898,13.60655
22/04/1898,7.552889
23/04/1898,1.891056
24/04/1898,0.076429
25/04/1898,0
26/04/1898,0
27/04/1898,0
28/04/1898,0
29/04/1898,0.312367
30/04/1898,0.037051
1/05/1898,0
2/05/1898,0.113734
3/05/1898,1.311488
4/05/1898,0
5/05/1898,0.634821
6/05/1898,5.063905
7/05/1898,1.697064
8/05/1898,0.983705
9/05/1898,5.566335
10/05/1898,0.286788
11/05/1898,1.005414
12/05/1898,0
13/05/1898,0
14/05/1898,0
15/05/1898,0
16/05/1898,0
17/05/1898,1.261759
18/05/1898,30.51643
19/05/1898,43.14602
20/05/1898,36.57342
21/05/1898,13.5302
22/05/1898,21.08064
23/05/1898,37.64648
24/05/1898,57.5102
25/05/1898,72.52437
26/05/1898,55.89139
27/05/1898,34.41239
28/05/1898,29.29651
29/05/1898,28.75928
30/05/1898,27.95194
31/05/1898,27.16919
1/06/1898,26.40942
2/06/1898,25.67214
3/06/1898,26.3208
4/06/1898,56.66074
5/06/1898,80.78817
6/06/1898,90.41431
7/06/1898,77.9221
8/06/1898,42.83178
9/06/1898,39.41821
10/06/1898,39.58241
11/06/1898,41.27239
12/06/1898,46.15681
13/06/1898,49.11605
14/06/1898,49.01118
15/06/1898,93.61804
16/06/1898,130.5456
17/06/1898,314.2253
18/06/1898,213.7336
19/06/1898,136.6089
20/06/1898,129.6489
21/06/1898,117.6692
22/06/1898,100.9374
23/06/1898,97.38962
24/06/1898,98.91624
25/06/1898,109.6533
26/06/1898,111.5544
27/06/1898,101.0468
28/06/1898,96.45113
29/06/1898,106.5752
30/06/1898,116.6964
1/07/1898,109.7925
2/07/1898,110.4096
3/07/1898,95.50198
4/07/1898,92.02556
5/07/1898,96.84767
6/07/1898,103.2329
7/07/1898,105.9658
8/07/1898,96.55517
9/07/1898,98.18814
10/07/1898,93.46236
11/07/1898,90.37815
12/07/1898,89.24982
13/07/1898,85.56613
14/07/1898,83.2042
15/07/1898,82.21598
16/07/1898,116.9629
17/07/1898,140.6533
18/07/1898,131.2131
19/07/1898,119.0341
20/07/1898,102.0178
21/07/1898,107.5574
22/07/1898,136.8691
23/07/1898,218.2564
24/07/1898,265.5014
25/07/1898,528.8099
26/07/1898,214.363
27/07/1898,231.8177
